2025-01-28 19:12:02 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.1.Final
2025-01-28 19:12:02 [main] INFO  : Starting VLMSStockApiApplication using Java 17.0.10 with PID 18604 (C:\D_Drive\Learning\SpringBoot\VLMS_Stock_API\target\classes started by pavan in C:\D_Drive\Learning\SpringBoot\VLMS_Stock_API)
2025-01-28 19:12:02 [main] DEBUG : Running with Spring Boot v3.2.3, Spring v6.1.4
2025-01-28 19:12:02 [main] INFO  : No active profile set, falling back to 1 default profile: "default"
2025-01-28 19:12:03 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-28 19:12:03 [main] INFO  : Finished Spring Data repository scanning in 58 ms. Found 1 JPA repository interface.
2025-01-28 19:12:04 [main] INFO  : Tomcat initialized with port 8080 (http)
2025-01-28 19:12:04 [main] INFO  : Initializing ProtocolHandler ["http-nio-8080"]
2025-01-28 19:12:04 [main] INFO  : Starting service [Tomcat]
2025-01-28 19:12:04 [main] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.19]
2025-01-28 19:12:04 [main] INFO  : Initializing Spring embedded WebApplicationContext
2025-01-28 19:12:04 [main] INFO  : Root WebApplicationContext: initialization completed in 2416 ms
2025-01-28 19:12:05 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-01-28 19:12:05 [main] INFO  : HHH000412: Hibernate ORM core version 6.4.4.Final
2025-01-28 19:12:05 [main] INFO  : HHH000026: Second-level cache disabled
2025-01-28 19:12:05 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2025-01-28 19:12:05 [main] INFO  : HikariPool-1 - Starting...
2025-01-28 19:12:06 [main] INFO  : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@58b03029
2025-01-28 19:12:06 [main] INFO  : HikariPool-1 - Start completed.
2025-01-28 19:12:07 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-01-28 19:12:07 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-01-28 19:12:07 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-01-28 19:12:08 [main] INFO  : Exposing 14 endpoint(s) beneath base path '/actuator'
2025-01-28 19:12:08 [main] INFO  : Starting ProtocolHandler ["http-nio-8080"]
2025-01-28 19:12:08 [main] INFO  : Tomcat started on port 8080 (http) with context path ''
2025-01-28 19:12:08 [main] INFO  : Started VLMSStockApiApplication in 7.281 seconds (process running for 7.828)
2025-01-28 19:22:25 [http-nio-8080-exec-1] INFO  : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-01-28 19:22:25 [http-nio-8080-exec-1] INFO  : Initializing Servlet 'dispatcherServlet'
2025-01-28 19:22:25 [http-nio-8080-exec-1] INFO  : Completed initialization in 3 ms
2025-01-28 19:22:25 [http-nio-8080-exec-1] INFO  : Start getAllProducts
2025-01-28 19:22:25 [http-nio-8080-exec-1] DEBUG : Start getAllProducts debug
2025-01-28 19:22:25 [http-nio-8080-exec-1] TRACE : Start getAllProducts trace
2025-01-28 23:14:03 [HikariPool-1 housekeeper] WARN  : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3h40m25s958ms495µs900ns).
